phase,quantity,model,decision_type,metric,value,note
after,hybrid:extracted,gptoss,Shower,mae,0.05281388888888888,
after,hybrid:extracted,gptoss,Shower,n_runs,5,
after,hybrid:extracted,gptoss,Shower,n_scored,300,
after,hybrid:extracted,gptoss,Shower,n_total,300,
after,hybrid:extracted,gptoss,Shower,success_rate,1.0,
after,hybrid:extracted,gptoss,Shower,tau_inclusive,0.7866666666666666,
after,hybrid:extracted,gptoss,Shower,top1_inclusive,0.8233333333333335,
after,hybrid:order_control,gptoss,Overall,kendall_tau,0.8984955534814939,
after,hybrid:order_control,gptoss,Overall,top1,0.9140924531793839,
after,hybrid:order_control,gptoss,Overall,mae,0.051694107243583066,
after,hybrid:order_control,gptoss,Overall,n_runs,3,
after,hybrid:order_control,gptoss,Overall,n_scored,514,
after,hybrid:order_control,gptoss,Overall,n_total,585,
after,hybrid:order_control,gptoss,Overall,success_rate,0.8786324786324786,
after,hybrid:order_control,gptoss,Overall,tau_inclusive,0.7897435897435897,
after,hybrid:order_control,gptoss,Overall,top1_inclusive,0.8438746438746438,
after,hybrid:order_control,gptoss,HVAC,kendall_tau,0.9416361416361415,
after,hybrid:order_control,gptoss,HVAC,top1,0.9342083842083841,
after,hybrid:order_control,gptoss,HVAC,mae,0.05448482227648895,
after,hybrid:order_control,gptoss,HVAC,n_runs,3,
after,hybrid:order_control,gptoss,HVAC,n_scored,139,
after,hybrid:order_control,gptoss,HVAC,n_total,210,
after,hybrid:order_control,gptoss,HVAC,success_rate,0.6619047619047619,
after,hybrid:order_control,gptoss,HVAC,tau_inclusive,0.6238095238095238,
after,hybrid:order_control,gptoss,HVAC,top1_inclusive,0.7317460317460318,
after,hybrid:order_control,gptoss,Appliance,kendall_tau,0.9623931623931624,
after,hybrid:order_control,gptoss,Appliance,top1,0.9846153846153847,
after,hybrid:order_control,gptoss,Appliance,mae,0.051405982905982896,
after,hybrid:order_control,gptoss,Appliance,n_runs,3,
after,hybrid:order_control,gptoss,Appliance,n_scored,195,
after,hybrid:order_control,gptoss,Appliance,n_total,195,
after,hybrid:order_control,gptoss,Appliance,success_rate,1.0,
after,hybrid:order_control,gptoss,Appliance,tau_inclusive,0.9623931623931624,
after,hybrid:order_control,gptoss,Appliance,top1_inclusive,0.9846153846153847,
after,hybrid:order_control,gptoss,Shower,kendall_tau,0.7962962962962964,
after,hybrid:order_control,gptoss,Shower,top1,0.8222222222222223,
after,hybrid:order_control,gptoss,Shower,mae,0.04994444444444445,
after,hybrid:order_control,gptoss,Shower,n_runs,3,
after,hybrid:order_control,gptoss,Shower,n_scored,180,
after,hybrid:order_control,gptoss,Shower,n_total,180,
after,hybrid:order_control,gptoss,Shower,success_rate,1.0,
after,hybrid:order_control,gptoss,Shower,tau_inclusive,0.7962962962962964,
after,hybrid:order_control,gptoss,Shower,top1_inclusive,0.8222222222222223,
after,hybrid:order_reversed,gptoss,Overall,kendall_tau,0.8977051385791054,
after,hybrid:order_reversed,gptoss,Overall,top1,0.9088436028612122,
after,hybrid:order_reversed,gptoss,Overall,mae,0.05251377242186371,
after,hybrid:order_reversed,gptoss,Overall,n_runs,5,
after,hybrid:order_reversed,gptoss,Overall,n_scored,867,
after,hybrid:order_reversed,gptoss,Overall,n_total,975,
after,hybrid:order_reversed,gptoss,Overall,success_rate,0.8892307692307693,
after,hybrid:order_reversed,gptoss,Overall,tau_inclusive,0.7982905982905981,
after,hybrid:order_reversed,gptoss,Overall,top1_inclusive,0.8451282051282052,
after,hybrid:order_reversed,gptoss,HVAC,kendall_tau,0.9415154182885276,
after,hybrid:order_reversed,gptoss,HVAC,top1,0.9290668812979739,
after,hybrid:order_reversed,gptoss,HVAC,mae,0.05397915485891327,
after,hybrid:order_reversed,gptoss,HVAC,n_runs,5,
after,hybrid:order_reversed,gptoss,HVAC,n_scored,242,
after,hybrid:order_reversed,gptoss,HVAC,n_total,350,
after,hybrid:order_reversed,gptoss,HVAC,success_rate,0.6914285714285714,
after,hybrid:order_reversed,gptoss,HVAC,tau_inclusive,0.6514285714285714,
after,hybrid:order_reversed,gptoss,HVAC,top1_inclusive,0.7457142857142858,
after,hybrid:order_reversed,gptoss,Appliance,kendall_tau,0.9712820512820513,
after,hybrid:order_reversed,gptoss,Appliance,top1,0.9846153846153847,
after,hybrid:order_reversed,gptoss,Appliance,mae,0.050615384615384604,
after,hybrid:order_reversed,gptoss,Appliance,n_runs,5,
after,hybrid:order_reversed,gptoss,Appliance,n_scored,325,
after,hybrid:order_reversed,gptoss,Appliance,n_total,325,
after,hybrid:order_reversed,gptoss,Appliance,success_rate,1.0,
after,hybrid:order_reversed,gptoss,Appliance,tau_inclusive,0.9712820512820513,
after,hybrid:order_reversed,gptoss,Appliance,top1_inclusive,0.9846153846153847,
after,hybrid:order_reversed,gptoss,Shower,kendall_tau,0.7822222222222223,
after,hybrid:order_reversed,gptoss,Shower,top1,0.8099999999999999,
after,hybrid:order_reversed,gptoss,Shower,mae,0.053494444444444435,
after,hybrid:order_reversed,gptoss,Shower,n_runs,5,
after,hybrid:order_reversed,gptoss,Shower,n_scored,300,
after,hybrid:order_reversed,gptoss,Shower,n_total,300,
after,hybrid:order_reversed,gptoss,Shower,success_rate,1.0,
after,hybrid:order_reversed,gptoss,Shower,tau_inclusive,0.7822222222222223,
after,hybrid:order_reversed,gptoss,Shower,top1_inclusive,0.8099999999999999,
after,hybrid:default_params,qwen,Overall,kendall_tau,0.6410256410256411,
after,hybrid:default_params,qwen,Overall,top1,0.7589743589743589,
after,hybrid:default_params,qwen,Overall,mae,0.13273931623931623,
after,hybrid:default_params,qwen,Overall,n_runs,1,
after,hybrid:default_params,qwen,Overall,n_scored,195,
after,hybrid:default_params,qwen,Overall,n_total,195,
after,hybrid:default_params,qwen,Overall,success_rate,1.0,
after,hybrid:default_params,qwen,Overall,tau_inclusive,0.6410256410256411,
after,hybrid:default_params,qwen,Overall,top1_inclusive,0.7589743589743589,
after,hybrid:default_params,qwen,HVAC,kendall_tau,0.9333333333333332,
after,hybrid:default_params,qwen,HVAC,top1,0.9571428571428572,
after,hybrid:default_params,qwen,HVAC,mae,0.07029761904761907,
after,hybrid:default_params,qwen,HVAC,n_runs,1,
after,hybrid:default_params,qwen,HVAC,n_scored,70,
after,hybrid:default_params,qwen,HVAC,n_total,70,
after,hybrid:default_params,qwen,HVAC,success_rate,1.0,
after,hybrid:default_params,qwen,HVAC,tau_inclusive,0.9333333333333332,
after,hybrid:default_params,qwen,HVAC,top1_inclusive,0.9571428571428572,
after,hybrid:default_params,qwen,Appliance,kendall_tau,0.18974358974358976,
after,hybrid:default_params,qwen,Appliance,top1,0.49230769230769234,
after,hybrid:default_params,qwen,Appliance,mae,0.2606794871794872,
after,hybrid:default_params,qwen,Appliance,n_runs,1,
after,hybrid:default_params,qwen,Appliance,n_scored,65,
after,hybrid:default_params,qwen,Appliance,n_total,65,
after,hybrid:default_params,qwen,Appliance,success_rate,1.0,
after,hybrid:default_params,qwen,Appliance,tau_inclusive,0.18974358974358976,
after,hybrid:default_params,qwen,Appliance,top1_inclusive,0.49230769230769234,
after,hybrid:default_params,qwen,Shower,kendall_tau,0.788888888888889,
after,hybrid:default_params,qwen,Shower,top1,0.8166666666666667,
after,hybrid:default_params,qwen,Shower,mae,0.06698611111111112,
after,hybrid:default_params,qwen,Shower,n_runs,1,
after,hybrid:default_params,qwen,Shower,n_scored,60,
after,hybrid:default_params,qwen,Shower,n_total,60,
after,hybrid:default_params,qwen,Shower,success_rate,1.0,
after,hybrid:default_params,qwen,Shower,tau_inclusive,0.788888888888889,
after,hybrid:default_params,qwen,Shower,top1_inclusive,0.8166666666666667,
after,hybrid:extracted,qwen,Overall,kendall_tau,0.8801127852674243,
after,hybrid:extracted,qwen,Overall,top1,0.8972402854877082,
after,hybrid:extracted,qwen,Overall,mae,0.07177710370957793,
after,hybrid:extracted,qwen,Overall,n_runs,5,
after,hybrid:extracted,qwen,Overall,n_scored,973,
after,hybrid:extracted,qwen,Overall,n_total,975,
after,hybrid:extracted,qwen,Overall,success_rate,0.997948717948718,
after,hybrid:extracted,qwen,Overall,tau_inclusive,0.8782905982905982,
after,hybrid:extracted,qwen,Overall,top1_inclusive,0.8960683760683761,
after,hybrid:extracted,qwen,HVAC,kendall_tau,0.8812974465148378,
after,hybrid:extracted,qwen,HVAC,top1,0.8736645962732918,
after,hybrid:extracted,qwen,HVAC,mae,0.05661407867494824,
after,hybrid:extracted,qwen,HVAC,n_runs,5,
after,hybrid:extracted,qwen,HVAC,n_scored,348,
after,hybrid:extracted,qwen,HVAC,n_total,350,
after,hybrid:extracted,qwen,HVAC,success_rate,0.9942857142857143,
after,hybrid:extracted,qwen,HVAC,tau_inclusive,0.8761904761904763,
after,hybrid:extracted,qwen,HVAC,top1_inclusive,0.8704761904761906,
after,hybrid:extracted,qwen,Appliance,kendall_tau,0.9056410256410257,
after,hybrid:extracted,qwen,Appliance,top1,0.9292307692307691,
after,hybrid:extracted,qwen,Appliance,mae,0.11764102564102563,
after,hybrid:extracted,qwen,Appliance,n_runs,5,
after,hybrid:extracted,qwen,Appliance,n_scored,325,
after,hybrid:extracted,qwen,Appliance,n_total,325,
after,hybrid:extracted,qwen,Appliance,success_rate,1.0,
after,hybrid:extracted,qwen,Appliance,tau_inclusive,0.9056410256410257,
after,hybrid:extracted,qwen,Appliance,top1_inclusive,0.9292307692307691,
after,hybrid:extracted,qwen,Shower,kendall_tau,0.8511111111111112,
after,hybrid:extracted,qwen,Shower,top1,0.8899999999999999,
after,hybrid:extracted,qwen,Shower,mae,0.03968055555555556,
after,hybrid:extracted,qwen,Shower,n_runs,5,
after,hybrid:extracted,qwen,Shower,n_scored,300,
after,hybrid:extracted,qwen,Shower,n_total,300,
after,hybrid:extracted,qwen,Shower,success_rate,1.0,
after,hybrid:extracted,qwen,Shower,tau_inclusive,0.8511111111111112,
after,hybrid:extracted,qwen,Shower,top1_inclusive,0.8899999999999999,
after,hybrid:order_control,qwen,Overall,kendall_tau,0.8894586894586894,
after,hybrid:order_control,qwen,Overall,top1,0.9076923076923077,
after,hybrid:order_control,qwen,Overall,mae,0.07362820512820513,
after,hybrid:order_control,qwen,Overall,n_runs,3,
after,hybrid:order_control,qwen,Overall,n_scored,585,
after,hybrid:order_control,qwen,Overall,n_total,585,
after,hybrid:order_control,qwen,Overall,success_rate,1.0,
after,hybrid:order_control,qwen,Overall,tau_inclusive,0.8894586894586894,
after,hybrid:order_control,qwen,Overall,top1_inclusive,0.9076923076923077,
after,hybrid:order_control,qwen,HVAC,kendall_tau,0.8761904761904762,
after,hybrid:order_control,qwen,HVAC,top1,0.8809523809523809,
after,hybrid:order_control,qwen,HVAC,mae,0.06214285714285714,
after,hybrid:order_control,qwen,HVAC,n_runs,3,
after,hybrid:order_control,qwen,HVAC,n_scored,210,
after,hybrid:order_control,qwen,HVAC,n_total,210,
after,hybrid:order_control,qwen,HVAC,success_rate,1.0,
after,hybrid:order_control,qwen,HVAC,tau_inclusive,0.8761904761904762,
after,hybrid:order_control,qwen,HVAC,top1_inclusive,0.8809523809523809,
after,hybrid:order_control,qwen,Appliance,kendall_tau,0.9111111111111111,
after,hybrid:order_control,qwen,Appliance,top1,0.9384615384615383,
after,hybrid:order_control,qwen,Appliance,mae,0.11820512820512818,
after,hybrid:order_control,qwen,Appliance,n_runs,3,
after,hybrid:order_control,qwen,Appliance,n_scored,195,
after,hybrid:order_control,qwen,Appliance,n_total,195,
after,hybrid:order_control,qwen,Appliance,success_rate,1.0,
after,hybrid:order_control,qwen,Appliance,tau_inclusive,0.9111111111111111,
after,hybrid:order_control,qwen,Appliance,top1_inclusive,0.9384615384615383,
after,hybrid:order_control,qwen,Shower,kendall_tau,0.8814814814814816,
after,hybrid:order_control,qwen,Shower,top1,0.9055555555555554,
after,hybrid:order_control,qwen,Shower,mae,0.03873611111111111,
after,hybrid:order_control,qwen,Shower,n_runs,3,
after,hybrid:order_control,qwen,Shower,n_scored,180,
after,hybrid:order_control,qwen,Shower,n_total,180,
after,hybrid:order_control,qwen,Shower,success_rate,1.0,
after,hybrid:order_control,qwen,Shower,tau_inclusive,0.8814814814814816,
after,hybrid:order_control,qwen,Shower,top1_inclusive,0.9055555555555554,
after,hybrid:order_reversed,qwen,Overall,kendall_tau,0.8912820512820513,
after,hybrid:order_reversed,qwen,Overall,top1,0.9035897435897435,
after,hybrid:order_reversed,qwen,Overall,mae,0.07249829059829059,
after,hybrid:order_reversed,qwen,Overall,n_runs,5,
after,hybrid:order_reversed,qwen,Overall,n_scored,975,
after,hybrid:order_reversed,qwen,Overall,n_total,975,
after,hybrid:order_reversed,qwen,Overall,success_rate,1.0,
after,hybrid:order_reversed,qwen,Overall,tau_inclusive,0.8912820512820513,
after,hybrid:order_reversed,qwen,Overall,top1_inclusive,0.9035897435897435,
after,hybrid:order_reversed,qwen,HVAC,kendall_tau,0.8914285714285715,
after,hybrid:order_reversed,qwen,HVAC,top1,0.8800000000000001,
after,hybrid:order_reversed,qwen,HVAC,mae,0.059376190476190485,
after,hybrid:order_reversed,qwen,HVAC,n_runs,5,
after,hybrid:order_reversed,qwen,HVAC,n_scored,350,
after,hybrid:order_reversed,qwen,HVAC,n_total,350,
after,hybrid:order_reversed,qwen,HVAC,success_rate,1.0,
after,hybrid:order_reversed,qwen,HVAC,tau_inclusive,0.8914285714285715,
after,hybrid:order_reversed,qwen,HVAC,top1_inclusive,0.8800000000000001,
after,hybrid:order_reversed,qwen,Appliance,kendall_tau,0.9200000000000002,
after,hybrid:order_reversed,qwen,Appliance,top1,0.9384615384615385,
after,hybrid:order_reversed,qwen,Appliance,mae,0.1153974358974359,
after,hybrid:order_reversed,qwen,Appliance,n_runs,5,
after,hybrid:order_reversed,qwen,Appliance,n_scored,325,
after,hybrid:order_reversed,qwen,Appliance,n_total,325,
after,hybrid:order_reversed,qwen,Appliance,success_rate,1.0,
after,hybrid:order_reversed,qwen,Appliance,tau_inclusive,0.9200000000000002,
after,hybrid:order_reversed,qwen,Appliance,top1_inclusive,0.9384615384615385,
after,hybrid:order_reversed,qwen,Shower,kendall_tau,0.8600000000000001,
after,hybrid:order_reversed,qwen,Shower,top1,0.8933333333333333,
after,hybrid:order_reversed,qwen,Shower,mae,0.04133333333333333,
after,hybrid:order_reversed,qwen,Shower,n_runs,5,
after,hybrid:order_reversed,qwen,Shower,n_scored,300,
after,hybrid:order_reversed,qwen,Shower,n_total,300,
after,hybrid:order_reversed,qwen,Shower,success_rate,1.0,
after,hybrid:order_reversed,qwen,Shower,tau_inclusive,0.8600000000000001,
after,hybrid:order_reversed,qwen,Shower,top1_inclusive,0.8933333333333333,
after,DM_like_for_like,deepseek,Overall,kendall_tau,0.6406555643669045,arm=extracted
after,DM_like_for_like,deepseek,Overall,top1,0.7587258789320644,arm=extracted
after,DM_like_for_like,deepseek,Overall,mae,0.13279884130760417,arm=extracted
after,DM_like_for_like,deepseek,Overall,tau_gain_AH_minus_DM,0.2566675478015684,arm=extracted
after,DM_like_for_like,deepseek,Overall,top1_gain_AH_minus_DM,0.14886069257203283,arm=extracted
after,DM_like_for_like,deepseek,HVAC,kendall_tau,0.9331400966183574,arm=extracted
after,DM_like_for_like,deepseek,HVAC,top1,0.9570186335403728,arm=extracted
after,DM_like_for_like,deepseek,HVAC,mae,0.07028398895790201,arm=extracted
after,DM_like_for_like,deepseek,HVAC,tau_gain_AH_minus_DM,-0.013388543823326415,arm=extracted
after,DM_like_for_like,deepseek,HVAC,top1_gain_AH_minus_DM,-0.037267080745341644,arm=extracted
after,DM_like_for_like,deepseek,Appliance,kendall_tau,0.18974358974358976,arm=extracted
after,DM_like_for_like,deepseek,Appliance,top1,0.49230769230769234,arm=extracted
after,DM_like_for_like,deepseek,Appliance,mae,0.2606794871794872,arm=extracted
after,DM_like_for_like,deepseek,Appliance,tau_gain_AH_minus_DM,0.7856410256410257,arm=extracted
after,DM_like_for_like,deepseek,Appliance,top1_gain_AH_minus_DM,0.49230769230769234,arm=extracted
after,DM_like_for_like,deepseek,Shower,kendall_tau,0.788888888888889,arm=extracted
after,DM_like_for_like,deepseek,Shower,top1,0.8166666666666667,arm=extracted
after,DM_like_for_like,deepseek,Shower,mae,0.06698611111111112,arm=extracted
after,DM_like_for_like,deepseek,Shower,tau_gain_AH_minus_DM,-0.0022222222222223697,arm=extracted
after,DM_like_for_like,deepseek,Shower,top1_gain_AH_minus_DM,-0.006666666666666643,arm=extracted
after,DM_like_for_like,gemini,Overall,kendall_tau,0.6410256410256411,arm=extracted
after,DM_like_for_like,gemini,Overall,top1,0.7589743589743589,arm=extracted
after,DM_like_for_like,gemini,Overall,mae,0.13273931623931623,arm=extracted
after,DM_like_for_like,gemini,Overall,tau_gain_AH_minus_DM,0.27897435897435885,arm=extracted
after,DM_like_for_like,gemini,Overall,top1_gain_AH_minus_DM,0.17230769230769236,arm=extracted
after,DM_like_for_like,gemini,HVAC,kendall_tau,0.9333333333333332,arm=extracted
after,DM_like_for_like,gemini,HVAC,top1,0.9571428571428571,arm=extracted
after,DM_like_for_like,gemini,HVAC,mae,0.07029761904761907,arm=extracted
after,DM_like_for_like,gemini,HVAC,tau_gain_AH_minus_DM,0.03428571428571434,arm=extracted
after,DM_like_for_like,gemini,HVAC,top1_gain_AH_minus_DM,0.00857142857142854,arm=extracted
after,DM_like_for_like,gemini,Appliance,kendall_tau,0.18974358974358976,arm=extracted
after,DM_like_for_like,gemini,Appliance,top1,0.49230769230769234,arm=extracted
after,DM_like_for_like,gemini,Appliance,mae,0.2606794871794872,arm=extracted
after,DM_like_for_like,gemini,Appliance,tau_gain_AH_minus_DM,0.7692307692307693,arm=extracted
after,DM_like_for_like,gemini,Appliance,top1_gain_AH_minus_DM,0.4769230769230769,arm=extracted
after,DM_like_for_like,gemini,Shower,kendall_tau,0.788888888888889,arm=extracted
after,DM_like_for_like,gemini,Shower,top1,0.8166666666666667,arm=extracted
after,DM_like_for_like,gemini,Shower,mae,0.06698611111111112,arm=extracted
after,DM_like_for_like,gemini,Shower,tau_gain_AH_minus_DM,0.033333333333333215,arm=extracted
after,DM_like_for_like,gemini,Shower,top1_gain_AH_minus_DM,0.033333333333333326,arm=extracted
after,DM_like_for_like,gptoss,Overall,kendall_tau,0.5974348572320175,arm=extracted
after,DM_like_for_like,gptoss,Overall,top1,0.7295555551745284,arm=extracted
after,DM_like_for_like,gptoss,Overall,mae,0.14050101117723837,arm=extracted
after,DM_like_for_like,gptoss,Overall,tau_gain_AH_minus_DM,0.299984515822244,arm=extracted
after,DM_like_for_like,gptoss,Overall,top1_gain_AH_minus_DM,0.1877274551526385,arm=extracted
after,DM_like_for_like,gptoss,HVAC,kendall_tau,0.919674568817426,arm=extracted
after,DM_like_for_like,gptoss,HVAC,top1,0.9484225932797361,arm=extracted
after,DM_like_for_like,gptoss,HVAC,mae,0.06749295403009688,arm=extracted
after,DM_like_for_like,gptoss,HVAC,tau_gain_AH_minus_DM,0.023178451178451142,arm=extracted
after,DM_like_for_like,gptoss,HVAC,top1_gain_AH_minus_DM,-0.008545454545454545,arm=extracted
after,DM_like_for_like,gptoss,Appliance,kendall_tau,0.18974358974358976,arm=extracted
after,DM_like_for_like,gptoss,Appliance,top1,0.49230769230769234,arm=extracted
after,DM_like_for_like,gptoss,Appliance,mae,0.2606794871794872,arm=extracted
after,DM_like_for_like,gptoss,Appliance,tau_gain_AH_minus_DM,0.7774358974358975,arm=extracted
after,DM_like_for_like,gptoss,Appliance,top1_gain_AH_minus_DM,0.4953846153846154,arm=extracted
after,DM_like_for_like,gptoss,Shower,kendall_tau,0.788888888888889,arm=extracted
after,DM_like_for_like,gptoss,Shower,top1,0.8166666666666667,arm=extracted
after,DM_like_for_like,gptoss,Shower,mae,0.06698611111111112,arm=extracted
after,DM_like_for_like,gptoss,Shower,tau_gain_AH_minus_DM,-0.0022222222222223033,arm=extracted
after,DM_like_for_like,gptoss,Shower,top1_gain_AH_minus_DM,0.006666666666666687,arm=extracted
after,DM_like_for_like,qwen,Overall,kendall_tau,0.6409727729315359,arm=extracted
after,DM_like_for_like,qwen,Overall,top1,0.7595083267248215,arm=extracted
after,DM_like_for_like,qwen,Overall,mae,0.13274324610097804,arm=extracted
after,DM_like_for_like,qwen,Overall,tau_gain_AH_minus_DM,0.23914001233588858,arm=extracted
after,DM_like_for_like,qwen,Overall,top1_gain_AH_minus_DM,0.13773195876288663,arm=extracted
after,DM_like_for_like,qwen,HVAC,kendall_tau,0.9348792270531401,arm=extracted
after,DM_like_for_like,qwen,HVAC,top1,0.959792960662526,arm=extracted
after,DM_like_for_like,qwen,HVAC,mae,0.06994668737060042,arm=extracted
after,DM_like_for_like,qwen,HVAC,tau_gain_AH_minus_DM,-0.053581780538302246,arm=extracted
after,DM_like_for_like,qwen,HVAC,top1_gain_AH_minus_DM,-0.08612836438923399,arm=extracted
after,DM_like_for_like,qwen,Appliance,kendall_tau,0.18974358974358976,arm=extracted
after,DM_like_for_like,qwen,Appliance,top1,0.49230769230769234,arm=extracted
after,DM_like_for_like,qwen,Appliance,mae,0.2606794871794872,arm=extracted
after,DM_like_for_like,qwen,Appliance,tau_gain_AH_minus_DM,0.715897435897436,arm=extracted
after,DM_like_for_like,qwen,Appliance,top1_gain_AH_minus_DM,0.43692307692307697,arm=extracted
after,DM_like_for_like,qwen,Shower,kendall_tau,0.788888888888889,arm=extracted
after,DM_like_for_like,qwen,Shower,top1,0.8166666666666667,arm=extracted
after,DM_like_for_like,qwen,Shower,mae,0.06698611111111112,arm=extracted
after,DM_like_for_like,qwen,Shower,tau_gain_AH_minus_DM,0.06222222222222218,arm=extracted
after,DM_like_for_like,qwen,Shower,top1_gain_AH_minus_DM,0.07333333333333333,arm=extracted
after,FD_appliance_type,all,Appliance,dryer,65,
after,FD_kwh_per_cycle,all,Appliance,2.1,65,
after,FD,all,HVAC,kendall_tau,0.9333,
after,FD,all,HVAC,top1,0.9571,
after,FD,all,HVAC,mae,0.0707,
after,FD,all,HVAC,n_scored,70,
after,FD,all,Appliance,kendall_tau,0.1385,
after,FD,all,Appliance,top1,0.3077,
after,FD,all,Appliance,mae,0.2572,
after,FD,all,Appliance,n_scored,65,
after,FD,all,Shower,kendall_tau,0.8,
after,FD,all,Shower,top1,0.85,
after,FD,all,Shower,mae,0.0593,
after,FD,all,Shower,n_scored,60,
after,FD,all,Overall,kendall_tau,0.6274,pooled
after,FD,all,Overall,top1,0.7077,pooled
after,FD,all,Overall,mae,0.1294,pooled
after,FD,all,Overall,n_scored,195,
after,FD_like_for_like,deepseek,Overall,kendall_tau,0.6269662525332629,
after,FD_like_for_like,deepseek,Overall,top1,0.707390959555908,
after,FD_like_for_like,deepseek,Overall,tau_gain_AH_minus_FD,0.27035685963521006,
after,FD_like_for_like,deepseek,HVAC,kendall_tau,0.9331400966183574,
after,FD_like_for_like,deepseek,HVAC,top1,0.9570186335403728,
after,FD_like_for_like,deepseek,HVAC,tau_gain_AH_minus_FD,-0.013388543823326415,
after,FD_like_for_like,deepseek,Appliance,kendall_tau,0.1384615384615385,
after,FD_like_for_like,deepseek,Appliance,top1,0.3076923076923077,
after,FD_like_for_like,deepseek,Appliance,tau_gain_AH_minus_FD,0.836923076923077,
after,FD_like_for_like,deepseek,Shower,kendall_tau,0.8000000000000002,
after,FD_like_for_like,deepseek,Shower,top1,0.85,
after,FD_like_for_like,deepseek,Shower,tau_gain_AH_minus_FD,-0.013333333333333553,
after,FD_like_for_like,gemini,Overall,kendall_tau,0.6273504273504275,
after,FD_like_for_like,gemini,Overall,top1,0.7076923076923077,
after,FD_like_for_like,gemini,Overall,tau_gain_AH_minus_FD,0.2926495726495725,
after,FD_like_for_like,gemini,HVAC,kendall_tau,0.9333333333333332,
after,FD_like_for_like,gemini,HVAC,top1,0.9571428571428571,
after,FD_like_for_like,gemini,HVAC,tau_gain_AH_minus_FD,0.03428571428571434,
after,FD_like_for_like,gemini,Appliance,kendall_tau,0.1384615384615385,
after,FD_like_for_like,gemini,Appliance,top1,0.3076923076923077,
after,FD_like_for_like,gemini,Appliance,tau_gain_AH_minus_FD,0.8205128205128205,
after,FD_like_for_like,gemini,Shower,kendall_tau,0.8000000000000002,
after,FD_like_for_like,gemini,Shower,top1,0.85,
after,FD_like_for_like,gemini,Shower,tau_gain_AH_minus_FD,0.022222222222222032,
after,FD_like_for_like,gptoss,Overall,kendall_tau,0.5842266867163106,
after,FD_like_for_like,gptoss,Overall,top1,0.6712689995810608,
after,FD_like_for_like,gptoss,Overall,tau_gain_AH_minus_FD,0.31319268633795083,
after,FD_like_for_like,gptoss,HVAC,kendall_tau,0.9283215831787259,
after,FD_like_for_like,gptoss,HVAC,top1,0.9484225932797361,
after,FD_like_for_like,gptoss,HVAC,tau_gain_AH_minus_FD,0.014531436817151055,
after,FD_like_for_like,gptoss,Appliance,kendall_tau,0.1384615384615385,
after,FD_like_for_like,gptoss,Appliance,top1,0.3076923076923077,
after,FD_like_for_like,gptoss,Appliance,tau_gain_AH_minus_FD,0.8287179487179486,
after,FD_like_for_like,gptoss,Shower,kendall_tau,0.8000000000000002,
after,FD_like_for_like,gptoss,Shower,top1,0.85,
after,FD_like_for_like,gptoss,Shower,tau_gain_AH_minus_FD,-0.013333333333333485,
after,FD_like_for_like,qwen,Overall,kendall_tau,0.6272693629394661,
after,FD_like_for_like,qwen,Overall,top1,0.70812053925456,
after,FD_like_for_like,qwen,Overall,tau_gain_AH_minus_FD,0.25284342232795837,
after,FD_like_for_like,qwen,HVAC,kendall_tau,0.9348792270531401,
after,FD_like_for_like,qwen,HVAC,top1,0.959792960662526,
after,FD_like_for_like,qwen,HVAC,tau_gain_AH_minus_FD,-0.053581780538302246,
after,FD_like_for_like,qwen,Appliance,kendall_tau,0.1384615384615385,
after,FD_like_for_like,qwen,Appliance,top1,0.3076923076923077,
after,FD_like_for_like,qwen,Appliance,tau_gain_AH_minus_FD,0.7671794871794871,
after,FD_like_for_like,qwen,Shower,kendall_tau,0.8000000000000002,
after,FD_like_for_like,qwen,Shower,top1,0.85,
after,FD_like_for_like,qwen,Shower,tau_gain_AH_minus_FD,0.051111111111110996,
after,SIG,deepseek,Overall,kendall_tau:p_value,1.29257971633139e-08,default_params vs extracted
after,SIG,deepseek,Overall,kendall_tau:p_holm,6.462898581656947e-08,default_params vs extracted
after,SIG,deepseek,Overall,kendall_tau:cliff_delta,-0.2065220249835635,default_params vs extracted
after,SIG,deepseek,Overall,kendall_tau:n_pairs,195,default_params vs extracted
after,SIG,deepseek,Overall,top1:p_value,7.979790106967753e-06,default_params vs extracted
after,SIG,deepseek,Overall,top1:p_holm,7.979790106967753e-06,default_params vs extracted
after,SIG,deepseek,Overall,top1:cliff_delta,-0.1235765943458251,default_params vs extracted
after,SIG,deepseek,Overall,top1:n_pairs,195,default_params vs extracted
after,SIG,deepseek,Overall,mae:p_value,2.778407752085768e-18,default_params vs extracted
after,SIG,deepseek,Overall,mae:p_holm,2.778407752085768e-17,default_params vs extracted
after,SIG,deepseek,Overall,mae:cliff_delta,0.4828928336620644,default_params vs extracted
after,SIG,deepseek,Overall,mae:n_pairs,195,default_params vs extracted
after,SIG,gemini,Overall,kendall_tau:p_value,3.140603986686292e-09,default_params vs extracted
after,SIG,gemini,Overall,kendall_tau:p_holm,2.198422790680405e-08,default_params vs extracted
after,SIG,gemini,Overall,kendall_tau:cliff_delta,-0.2615384615384616,default_params vs extracted
after,SIG,gemini,Overall,kendall_tau:n_pairs,195,default_params vs extracted
after,SIG,gemini,Overall,top1:p_value,3.800828700291237e-06,default_params vs extracted
after,SIG,gemini,Overall,top1:p_holm,1.140248610087371e-05,default_params vs extracted
after,SIG,gemini,Overall,top1:cliff_delta,-0.1704667981591058,default_params vs extracted
