model,run,scenario_id,decision_type,param,true,llm,lu,fd,corpus,llm_match,lu_match,fd_match
gemini,01,103,Appliance,appliance,,,,,,True,True,True
gemini,01,103,Appliance,baseline_time,,,,,,True,True,True
gemini,01,104,Appliance,kwh_per_cycle,0.95,1.2,1.0,1.0,1.1,,,
gemini,01,104,Appliance,appliance,,,,,,True,True,True
gemini,01,104,Appliance,baseline_time,,,,,,True,True,False
gemini,01,105,Appliance,kwh_per_cycle,1.55,1.8,1.0,1.0,1.7,,,
gemini,01,105,Appliance,appliance,,,,,,True,True,True
gemini,01,105,Appliance,baseline_time,,,,,,True,True,False
gemini,01,106,Appliance,kwh_per_cycle,0.22,0.35,0.55,0.55,0.2,,,
gemini,01,106,Appliance,appliance,,,,,,True,True,True
gemini,01,106,Appliance,baseline_time,,,,,,True,True,False
gemini,01,107,Appliance,kwh_per_cycle,2.9,3.3,2.1,2.1,2.6,,,
gemini,01,107,Appliance,appliance,,,,,,True,True,True
gemini,01,107,Appliance,baseline_time,,,,,,True,True,False
gemini,01,108,Appliance,kwh_per_cycle,0.45,1.5,0.55,0.55,0.35,,,
gemini,01,108,Appliance,appliance,,,,,,True,True,True
gemini,01,108,Appliance,baseline_time,,,,,,True,True,False
gemini,01,109,Appliance,kwh_per_cycle,0.38,1.5,0.55,0.55,0.365,,,
gemini,01,109,Appliance,appliance,,,,,,False,True,True
gemini,01,109,Appliance,baseline_time,,,,,,True,True,False
gemini,01,110,Appliance,kwh_per_cycle,3.5,3.3,2.1,2.1,3.3,,,
gemini,01,110,Appliance,appliance,,,,,,True,True,True
gemini,01,110,Appliance,baseline_time,,,,,,True,True,False
gemini,01,111,Appliance,kwh_per_cycle,1.25,1.2,1.0,1.0,1.1,,,
gemini,01,111,Appliance,appliance,,,,,,True,True,True
gemini,01,111,Appliance,baseline_time,,,,,,True,True,False
gemini,01,112,Appliance,kwh_per_cycle,2.5,3.3,2.1,2.1,2.5,,,
gemini,01,112,Appliance,appliance,,,,,,True,True,True
gemini,01,112,Appliance,baseline_time,,,,,,True,True,False
gemini,01,113,Appliance,kwh_per_cycle,1.25,1.2,1.0,1.0,1.1,,,
gemini,01,113,Appliance,appliance,,,,,,True,True,True
gemini,01,113,Appliance,baseline_time,,,,,,True,True,False
gemini,01,114,Appliance,kwh_per_cycle,0.38,1.5,0.55,0.55,0.365,,,
gemini,01,114,Appliance,appliance,,,,,,True,True,True
gemini,01,114,Appliance,baseline_time,,,,,,True,True,False
gemini,01,115,Appliance,kwh_per_cycle,0.95,1.5,1.0,1.0,1.15,,,
gemini,01,115,Appliance,appliance,,,,,,True,True,True
gemini,01,115,Appliance,baseline_time,,,,,,True,True,True
gemini,01,116,Appliance,kwh_per_cycle,0.28,0.4,0.55,0.55,0.2,,,
gemini,01,116,Appliance,appliance,,,,,,True,True,True
gemini,01,116,Appliance,baseline_time,,,,,,True,True,False
gemini,01,117,Appliance,kwh_per_cycle,3.2,3.3,2.1,2.1,2.8,,,
gemini,01,117,Appliance,appliance,,,,,,True,True,True
gemini,01,117,Appliance,baseline_time,,,,,,True,True,False
gemini,01,118,Appliance,kwh_per_cycle,0.38,1.5,0.55,0.55,0.365,,,
gemini,01,118,Appliance,appliance,,,,,,False,True,True
gemini,01,118,Appliance,baseline_time,,,,,,True,True,False
gemini,01,119,Appliance,kwh_per_cycle,0.35,0.45,0.55,0.55,0.365,,,
gemini,01,119,Appliance,appliance,,,,,,True,True,True
gemini,01,119,Appliance,baseline_time,,,,,,True,True,False
gemini,01,120,Appliance,kwh_per_cycle,3.0,3.3,2.1,2.1,2.6,,,
gemini,01,120,Appliance,appliance,,,,,,True,True,True
gemini,01,120,Appliance,baseline_time,,,,,,True,True,False
gemini,01,121,Appliance,kwh_per_cycle,1.25,1.2,1.0,1.0,1.1,,,
gemini,01,121,Appliance,appliance,,,,,,True,True,True
gemini,01,121,Appliance,baseline_time,,,,,,True,True,False
gemini,01,122,Appliance,kwh_per_cycle,2.8,3.0,2.1,2.1,2.5,,,
gemini,01,122,Appliance,appliance,,,,,,True,True,True
gemini,01,122,Appliance,baseline_time,,,,,,True,True,False
gemini,01,123,Appliance,kwh_per_cycle,1.1,1.2,1.0,1.0,0.91,,,
gemini,01,123,Appliance,appliance,,,,,,True,True,True
gemini,01,123,Appliance,baseline_time,,,,,,True,True,False
gemini,01,124,Appliance,kwh_per_cycle,2.8,3.3,2.1,2.1,2.6,,,
gemini,01,124,Appliance,appliance,,,,,,True,True,True
gemini,01,124,Appliance,baseline_time,,,,,,True,True,False
gemini,01,125,Appliance,kwh_per_cycle,0.85,2.3,0.55,0.55,0.35,,,
gemini,01,125,Appliance,appliance,,,,,,True,True,True
gemini,01,125,Appliance,baseline_time,,,,,,True,True,False
gemini,01,126,Appliance,kwh_per_cycle,1.05,1.2,1.0,1.0,1.1,,,
gemini,01,126,Appliance,appliance,,,,,,True,True,True
gemini,01,126,Appliance,baseline_time,,,,,,True,True,False
gemini,01,127,Appliance,kwh_per_cycle,0.35,1.5,0.55,0.55,0.365,,,
gemini,01,127,Appliance,appliance,,,,,,True,True,True
gemini,01,127,Appliance,baseline_time,,,,,,True,True,False
gemini,01,128,Appliance,kwh_per_cycle,2.9,3.3,2.1,2.1,2.6,,,
gemini,01,128,Appliance,appliance,,,,,,True,True,True
gemini,01,128,Appliance,baseline_time,,,,,,True,True,False
gemini,01,129,Appliance,kwh_per_cycle,1.25,1.5,1.0,1.0,1.15,,,
gemini,01,129,Appliance,appliance,,,,,,True,True,True
gemini,01,129,Appliance,baseline_time,,,,,,True,True,False
gemini,01,130,Appliance,kwh_per_cycle,0.42,1.5,0.55,0.55,0.365,,,
gemini,01,130,Appliance,appliance,,,,,,True,True,True
gemini,01,130,Appliance,baseline_time,,,,,,True,True,False
gemini,01,131,Appliance,kwh_per_cycle,3.1,3.3,2.1,2.1,3.3,,,
gemini,01,131,Appliance,appliance,,,,,,True,True,True
gemini,01,131,Appliance,baseline_time,,,,,,True,True,True
gemini,01,132,Appliance,kwh_per_cycle,0.85,1.2,1.0,1.0,0.91,,,
gemini,01,132,Appliance,appliance,,,,,,True,True,True
gemini,01,132,Appliance,baseline_time,,,,,,True,True,False
gemini,01,133,Appliance,kwh_per_cycle,0.3,1.5,0.55,0.55,0.365,,,
gemini,01,133,Appliance,appliance,,,,,,False,True,True
gemini,01,133,Appliance,baseline_time,,,,,,True,True,False
gemini,01,134,Appliance,kwh_per_cycle,2.8,2.5,2.1,2.1,2.5,,,
gemini,01,134,Appliance,appliance,,,,,,True,True,True
gemini,01,134,Appliance,baseline_time,,,,,,True,True,True
gemini,01,135,Appliance,kwh_per_cycle,1.1,1.2,1.0,1.0,1.1,,,
gemini,01,135,Appliance,appliance,,,,,,True,True,True
gemini,01,135,Appliance,baseline_time,,,,,,True,True,False
gemini,01,136,Shower,gpm,1.5,1.5,1.5,2.5,2.0,,,
gemini,01,136,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,136,Shower,water_heater_temp,105.0,120.0,120.0,120.0,120.0,,,
gemini,01,137,Shower,gpm,1.5,1.5,1.5,2.5,2.0,,,
gemini,01,137,Shower,tank_size,50.0,40.0,50.0,50.0,50.0,,,
gemini,01,137,Shower,water_heater_temp,110.0,120.0,120.0,120.0,120.0,,,
gemini,01,138,Shower,gpm,1.5,1.5,1.5,2.5,2.0,,,
gemini,01,138,Shower,tank_size,40.0,40.0,50.0,50.0,30.0,,,
gemini,01,138,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,139,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,139,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,139,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,140,Shower,gpm,1.5,1.5,1.5,2.5,2.0,,,
gemini,01,140,Shower,tank_size,60.0,50.0,50.0,50.0,60.0,,,
gemini,01,140,Shower,water_heater_temp,130.0,120.0,120.0,120.0,120.0,,,
gemini,01,141,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,141,Shower,tank_size,60.0,50.0,50.0,50.0,60.0,,,
gemini,01,141,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,142,Shower,gpm,1.5,1.5,1.5,2.5,2.0,,,
gemini,01,142,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,142,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,143,Shower,gpm,1.5,1.5,1.5,2.5,2.0,,,
gemini,01,143,Shower,tank_size,50.0,50.0,50.0,50.0,45.0,,,
gemini,01,143,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,144,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,144,Shower,tank_size,80.0,50.0,50.0,50.0,45.0,,,
gemini,01,144,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,145,Shower,gpm,3.5,2.5,4.0,2.5,3.5,,,
gemini,01,145,Shower,tank_size,40.0,50.0,50.0,50.0,45.0,,,
gemini,01,145,Shower,water_heater_temp,135.0,120.0,120.0,120.0,120.0,,,
gemini,01,146,Shower,gpm,3.5,2.5,4.0,2.5,3.5,,,
gemini,01,146,Shower,tank_size,60.0,80.0,50.0,50.0,50.0,,,
gemini,01,146,Shower,water_heater_temp,140.0,120.0,120.0,120.0,120.0,,,
gemini,01,147,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,147,Shower,tank_size,60.0,50.0,50.0,50.0,60.0,,,
gemini,01,147,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,148,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,148,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,148,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,149,Shower,gpm,3.5,2.5,4.0,2.5,3.5,,,
gemini,01,149,Shower,tank_size,50.0,50.0,50.0,50.0,60.0,,,
gemini,01,149,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,150,Shower,gpm,3.5,2.5,4.0,2.5,3.5,,,
gemini,01,150,Shower,tank_size,40.0,40.0,50.0,50.0,50.0,,,
gemini,01,150,Shower,water_heater_temp,130.0,120.0,120.0,120.0,120.0,,,
gemini,01,151,Shower,gpm,4.0,2.5,4.0,2.5,3.5,,,
gemini,01,151,Shower,tank_size,40.0,80.0,50.0,50.0,50.0,,,
gemini,01,151,Shower,water_heater_temp,135.0,120.0,120.0,120.0,120.0,,,
gemini,01,152,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,152,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,152,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,153,Shower,gpm,4.0,2.5,4.0,2.5,3.5,,,
gemini,01,153,Shower,tank_size,50.0,50.0,50.0,50.0,45.0,,,
gemini,01,153,Shower,water_heater_temp,140.0,120.0,120.0,120.0,120.0,,,
gemini,01,154,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,154,Shower,tank_size,30.0,40.0,50.0,50.0,60.0,,,
gemini,01,154,Shower,water_heater_temp,105.0,120.0,120.0,120.0,120.0,,,
gemini,01,155,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,155,Shower,tank_size,40.0,50.0,50.0,50.0,45.0,,,
gemini,01,155,Shower,water_heater_temp,110.0,120.0,120.0,120.0,120.0,,,
gemini,01,156,Shower,gpm,3.0,2.5,2.5,2.5,2.5,,,
gemini,01,156,Shower,tank_size,50.0,80.0,50.0,50.0,45.0,,,
gemini,01,156,Shower,water_heater_temp,130.0,120.0,120.0,120.0,120.0,,,
gemini,01,157,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,157,Shower,tank_size,80.0,40.0,50.0,50.0,40.0,,,
gemini,01,157,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,158,Shower,gpm,3.5,2.5,4.0,2.5,3.5,,,
gemini,01,158,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,158,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,159,Shower,gpm,3.5,2.5,4.0,2.5,3.5,,,
gemini,01,159,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,159,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,160,Shower,gpm,4.0,2.5,4.0,2.5,3.5,,,
gemini,01,160,Shower,tank_size,65.0,50.0,50.0,50.0,60.0,,,
gemini,01,160,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,161,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,161,Shower,tank_size,50.0,50.0,50.0,50.0,60.0,,,
gemini,01,161,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,162,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,162,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,162,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,163,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,163,Shower,tank_size,60.0,50.0,50.0,50.0,60.0,,,
gemini,01,163,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,164,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,164,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,164,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,165,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,165,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,165,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,166,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,166,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,166,Shower,water_heater_temp,105.0,120.0,120.0,120.0,120.0,,,
gemini,01,167,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,167,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,167,Shower,water_heater_temp,105.0,120.0,120.0,120.0,120.0,,,
gemini,01,168,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,168,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,168,Shower,water_heater_temp,110.0,120.0,120.0,120.0,120.0,,,
gemini,01,169,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,169,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,169,Shower,water_heater_temp,130.0,120.0,120.0,120.0,120.0,,,
gemini,01,170,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,170,Shower,tank_size,60.0,50.0,50.0,50.0,60.0,,,
gemini,01,170,Shower,water_heater_temp,140.0,120.0,120.0,120.0,120.0,,,
gemini,01,171,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,171,Shower,tank_size,40.0,50.0,50.0,50.0,45.0,,,
gemini,01,171,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,172,Shower,gpm,3.0,2.5,2.5,2.5,2.5,,,
gemini,01,172,Shower,tank_size,40.0,50.0,50.0,50.0,60.0,,,
gemini,01,172,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,173,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,173,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,173,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,174,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,174,Shower,tank_size,50.0,50.0,50.0,50.0,45.0,,,
gemini,01,174,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,175,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,175,Shower,tank_size,60.0,80.0,50.0,50.0,45.0,,,
gemini,01,175,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,176,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,176,Shower,tank_size,50.0,40.0,50.0,50.0,50.0,,,
gemini,01,176,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,177,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,177,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,177,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,178,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,178,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,178,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,179,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,179,Shower,tank_size,50.0,40.0,50.0,50.0,50.0,,,
gemini,01,179,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,180,Shower,gpm,3.0,2.5,2.5,2.5,2.5,,,
gemini,01,180,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,180,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,181,Shower,gpm,4.0,2.5,4.0,2.5,3.5,,,
gemini,01,181,Shower,tank_size,65.0,50.0,50.0,50.0,45.0,,,
gemini,01,181,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,182,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,182,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,182,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,183,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,183,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,183,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,184,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,184,Shower,tank_size,50.0,50.0,50.0,50.0,50.0,,,
gemini,01,184,Shower,water_heater_temp,105.0,120.0,120.0,120.0,120.0,,,
gemini,01,185,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,185,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,185,Shower,water_heater_temp,135.0,120.0,120.0,120.0,120.0,,,
gemini,01,186,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,186,Shower,tank_size,30.0,50.0,50.0,50.0,60.0,,,
gemini,01,186,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,187,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,187,Shower,tank_size,80.0,80.0,50.0,50.0,45.0,,,
gemini,01,187,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,188,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,188,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,188,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,189,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,189,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,189,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,190,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,190,Shower,tank_size,50.0,40.0,50.0,50.0,50.0,,,
gemini,01,190,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,191,Shower,gpm,2.5,2.5,2.5,2.5,2.5,,,
gemini,01,191,Shower,tank_size,50.0,40.0,50.0,50.0,50.0,,,
gemini,01,191,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,192,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,192,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,192,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,01,193,Shower,gpm,1.5,1.5,1.5,2.5,2.0,,,
gemini,01,193,Shower,tank_size,30.0,40.0,50.0,50.0,30.0,,,
gemini,01,193,Shower,water_heater_temp,105.0,120.0,120.0,120.0,120.0,,,
gemini,01,194,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,194,Shower,tank_size,30.0,40.0,50.0,50.0,30.0,,,
gemini,01,194,Shower,water_heater_temp,110.0,120.0,120.0,120.0,120.0,,,
gemini,01,195,Shower,gpm,2.0,1.5,1.5,2.5,2.0,,,
gemini,01,195,Shower,tank_size,40.0,40.0,50.0,50.0,40.0,,,
gemini,01,195,Shower,water_heater_temp,120.0,120.0,120.0,120.0,120.0,,,
gemini,02,1,HVAC,r_value,22.0,19.0,21.5,15.0,22.0,,,
gemini,02,1,HVAC,seer,13.0,14.0,10.0,13.0,13.0,,,
gemini,02,1,HVAC,hvac_age,20.0,12.0,25.5,13.0,21.0,,,
gemini,02,1,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,2,HVAC,r_value,23.0,19.0,21.5,15.0,22.0,,,
gemini,02,2,HVAC,seer,13.0,14.0,10.0,13.0,13.0,,,
gemini,02,2,HVAC,hvac_age,20.0,12.0,25.5,13.0,21.0,,,
gemini,02,2,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,3,HVAC,r_value,14.0,15.0,15.5,15.0,16.0,,,
gemini,02,3,HVAC,seer,11.0,14.0,9.0,13.0,13.0,,,
gemini,02,3,HVAC,hvac_age,30.0,15.0,35.5,13.0,26.0,,,
gemini,02,3,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,4,HVAC,r_value,15.0,15.0,15.5,15.0,16.0,,,
gemini,02,4,HVAC,seer,11.0,14.0,9.0,13.0,13.0,,,
gemini,02,4,HVAC,hvac_age,30.0,12.0,35.5,13.0,26.0,,,
gemini,02,4,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,5,HVAC,r_value,22.0,19.0,21.5,15.0,22.0,,,
gemini,02,5,HVAC,seer,10.0,10.0,9.0,13.0,13.0,,,
gemini,02,5,HVAC,hvac_age,35.0,15.0,45.5,13.0,16.0,,,
gemini,02,5,HVAC,occupancy_context,,,,,,False,True,False
gemini,02,6,HVAC,r_value,10.0,9.0,10.0,15.0,9.0,,,
gemini,02,6,HVAC,seer,9.0,10.0,9.0,13.0,13.0,,,
gemini,02,6,HVAC,hvac_age,40.0,15.0,45.5,13.0,16.0,,,
gemini,02,6,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,7,HVAC,r_value,8.0,9.0,10.0,15.0,9.0,,,
gemini,02,7,HVAC,seer,9.0,10.0,9.0,13.0,13.0,,,
gemini,02,7,HVAC,hvac_age,40.0,15.0,45.5,13.0,16.0,,,
gemini,02,7,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,8,HVAC,r_value,21.0,19.0,21.5,15.0,22.0,,,
gemini,02,8,HVAC,seer,13.0,14.0,10.0,13.0,13.0,,,
gemini,02,8,HVAC,hvac_age,23.0,12.0,25.5,13.0,21.0,,,
gemini,02,8,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,9,HVAC,r_value,22.0,19.0,21.5,15.0,22.0,,,
gemini,02,9,HVAC,seer,13.0,14.0,10.0,13.0,13.0,,,
gemini,02,9,HVAC,hvac_age,23.0,12.0,25.5,13.0,21.0,,,
gemini,02,9,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,10,HVAC,r_value,23.0,19.0,21.5,15.0,22.0,,,
gemini,02,10,HVAC,seer,16.0,14.0,13.0,13.0,14.0,,,
gemini,02,10,HVAC,hvac_age,12.0,18.0,18.0,13.0,15.0,,,
gemini,02,10,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,11,HVAC,r_value,16.0,15.0,15.5,15.0,16.0,,,
gemini,02,11,HVAC,seer,16.0,16.0,14.0,13.0,16.0,,,
gemini,02,11,HVAC,hvac_age,5.0,3.0,3.0,13.0,5.0,,,
gemini,02,11,HVAC,occupancy_context,,,,,,True,True,False
gemini,02,12,HVAC,r_value,17.0,15.0,15.5,15.0,16.0,,,
gemini,02,12,HVAC,seer,16.0,16.0,14.0,13.0,16.0,,,
gemini,02,12,HVAC,hvac_age,5.0,3.0,3.0,13.0,5.0,,,
gemini,02,12,HVAC,occupancy_context,,,,,,False,True,False
gemini,02,13,HVAC,r_value,11.0,9.0,10.0,15.0,9.0,,,
gemini,02,13,HVAC,seer,18.0,15.0,14.0,13.0,16.0,,,
gemini,02,13,HVAC,hvac_age,1.0,3.0,3.0,13.0,5.0,,,
gemini,02,13,HVAC,occupancy_context,,,,,,False,False,False
gemini,02,14,HVAC,r_value,23.0,19.0,21.5,15.0,22.0,,,
gemini,02,14,HVAC,seer,18.0,16.0,14.0,13.0,16.0,,,
gemini,02,14,HVAC,hvac_age,2.0,3.0,3.0,13.0,5.0,,,
gemini,02,14,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,15,HVAC,r_value,12.0,9.0,10.0,15.0,9.0,,,
gemini,02,15,HVAC,seer,17.0,15.0,14.0,13.0,16.0,,,
gemini,02,15,HVAC,hvac_age,4.0,3.0,3.0,13.0,5.0,,,
gemini,02,15,HVAC,occupancy_context,,,,,,True,True,False
gemini,02,16,HVAC,r_value,10.0,9.0,10.0,15.0,9.0,,,
gemini,02,16,HVAC,seer,17.0,14.0,14.0,13.0,16.0,,,
gemini,02,16,HVAC,hvac_age,4.0,3.0,3.0,13.0,5.0,,,
gemini,02,16,HVAC,occupancy_context,,,,,,False,True,False
gemini,02,17,HVAC,r_value,15.0,15.0,15.5,15.0,16.0,,,
gemini,02,17,HVAC,seer,16.0,16.0,13.0,13.0,16.0,,,
gemini,02,17,HVAC,hvac_age,7.0,8.0,8.0,13.0,5.0,,,
gemini,02,17,HVAC,occupancy_context,,,,,,False,True,False
gemini,02,18,HVAC,r_value,11.0,9.0,10.0,15.0,9.0,,,
gemini,02,18,HVAC,seer,15.0,14.0,13.0,13.0,16.0,,,
gemini,02,18,HVAC,hvac_age,9.0,8.0,8.0,13.0,5.0,,,
gemini,02,18,HVAC,occupancy_context,,,,,,False,True,False
gemini,02,19,HVAC,r_value,24.0,19.0,21.5,15.0,22.0,,,
gemini,02,19,HVAC,seer,16.0,15.0,13.0,13.0,16.0,,,
gemini,02,19,HVAC,hvac_age,11.0,8.0,8.0,13.0,5.0,,,
gemini,02,19,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,20,HVAC,r_value,15.0,15.0,15.5,15.0,16.0,,,
gemini,02,20,HVAC,seer,15.0,14.0,13.0,13.0,15.0,,,
gemini,02,20,HVAC,hvac_age,12.0,13.0,13.0,13.0,10.0,,,
gemini,02,20,HVAC,occupancy_context,,,,,,False,True,False
gemini,02,21,HVAC,r_value,10.0,9.0,10.0,15.0,9.0,,,
gemini,02,21,HVAC,seer,14.0,14.0,13.0,13.0,15.0,,,
gemini,02,21,HVAC,hvac_age,16.0,13.0,13.0,13.0,10.0,,,
gemini,02,21,HVAC,occupancy_context,,,,,,True,True,True
gemini,02,22,HVAC,r_value,16.0,15.0,15.5,15.0,16.0,,,
