category,architecture,model_or_pooled,decision_type,metric,value,sd
Table9_rag_ablation,control_k3,deepseek,Overall,kendall_tau,0.3481,
Table9_rag_ablation,control_k3,deepseek,Overall,score_mae,0.082695,
Table9_rag_ablation,control_k3,deepseek,Overall,score_rmse,0.09004,
Table9_rag_ablation,descriptions_no_scores_ranks,deepseek,Overall,kendall_tau,0.080857,
Table9_rag_ablation,descriptions_no_scores_ranks,deepseek,Overall,score_mae,0.140076,
Table9_rag_ablation,descriptions_no_scores_ranks,deepseek,Overall,score_rmse,0.154302,
Table9_rag_ablation,exemplars_no_hidden_params,deepseek,Overall,kendall_tau,0.458804,
Table9_rag_ablation,exemplars_no_hidden_params,deepseek,Overall,score_mae,0.074167,
Table9_rag_ablation,exemplars_no_hidden_params,deepseek,Overall,score_rmse,0.081737,
Table9_rag_ablation,random_exemplars_k3,deepseek,Overall,kendall_tau,0.227916,
Table9_rag_ablation,random_exemplars_k3,deepseek,Overall,score_mae,0.146633,
Table9_rag_ablation,random_exemplars_k3,deepseek,Overall,score_rmse,0.159187,
Table9_rag_ablation,retrieval_k1,deepseek,Overall,kendall_tau,0.461424,
Table9_rag_ablation,retrieval_k1,deepseek,Overall,score_mae,0.086886,
Table9_rag_ablation,retrieval_k1,deepseek,Overall,score_rmse,0.099437,
Table9_rag_ablation,retrieval_k5,deepseek,Overall,kendall_tau,0.569504,
Table9_rag_ablation,retrieval_k5,deepseek,Overall,score_mae,0.069943,
Table9_rag_ablation,retrieval_k5,deepseek,Overall,score_rmse,0.076705,
Table9_rag_ablation,alternate_embedding_k3,gemini,Overall,kendall_tau,0.446657,
Table9_rag_ablation,alternate_embedding_k3,gemini,Overall,score_mae,0.061176,
Table9_rag_ablation,alternate_embedding_k3,gemini,Overall,score_rmse,0.071554,
Table9_rag_ablation,control_k3,gemini,Overall,kendall_tau,0.341895,
Table9_rag_ablation,control_k3,gemini,Overall,score_mae,0.071076,
Table9_rag_ablation,control_k3,gemini,Overall,score_rmse,0.082568,
Table9_rag_ablation,descriptions_no_scores_ranks,gemini,Overall,kendall_tau,0.104762,
Table9_rag_ablation,descriptions_no_scores_ranks,gemini,Overall,score_mae,0.142702,
Table9_rag_ablation,descriptions_no_scores_ranks,gemini,Overall,score_rmse,0.162566,
Table9_rag_ablation,exemplars_no_hidden_params,gemini,Overall,kendall_tau,0.309043,
Table9_rag_ablation,exemplars_no_hidden_params,gemini,Overall,score_mae,0.072462,
Table9_rag_ablation,exemplars_no_hidden_params,gemini,Overall,score_rmse,0.084011,
Table9_rag_ablation,random_exemplars_k3,gemini,Overall,kendall_tau,-0.023328,
Table9_rag_ablation,random_exemplars_k3,gemini,Overall,score_mae,0.151186,
Table9_rag_ablation,random_exemplars_k3,gemini,Overall,score_rmse,0.16877,
Table9_rag_ablation,retrieval_k1,gemini,Overall,kendall_tau,0.352941,
Table9_rag_ablation,retrieval_k1,gemini,Overall,score_mae,0.083138,
Table9_rag_ablation,retrieval_k1,gemini,Overall,score_rmse,0.096188,
Table9_rag_ablation,retrieval_k5,gemini,Overall,kendall_tau,0.480471,
Table9_rag_ablation,retrieval_k5,gemini,Overall,score_mae,0.060457,
Table9_rag_ablation,retrieval_k5,gemini,Overall,score_rmse,0.06868,
Table9_rag_ablation,alternate_embedding_k3,gptoss,Overall,kendall_tau,0.219048,
Table9_rag_ablation,alternate_embedding_k3,gptoss,Overall,score_mae,0.09331,
Table9_rag_ablation,alternate_embedding_k3,gptoss,Overall,score_rmse,0.108505,
Table9_rag_ablation,control_k3,gptoss,Overall,kendall_tau,0.2,
Table9_rag_ablation,control_k3,gptoss,Overall,score_mae,0.086981,
Table9_rag_ablation,control_k3,gptoss,Overall,score_rmse,0.100373,
Table9_rag_ablation,descriptions_no_scores_ranks,gptoss,Overall,kendall_tau,-0.065146,
Table9_rag_ablation,descriptions_no_scores_ranks,gptoss,Overall,score_mae,0.143048,
Table9_rag_ablation,descriptions_no_scores_ranks,gptoss,Overall,score_rmse,0.163811,
Table9_rag_ablation,exemplars_no_hidden_params,gptoss,Overall,kendall_tau,0.2,
Table9_rag_ablation,exemplars_no_hidden_params,gptoss,Overall,score_mae,0.093443,
Table9_rag_ablation,exemplars_no_hidden_params,gptoss,Overall,score_rmse,0.108089,
Table9_rag_ablation,random_exemplars_k3,gptoss,Overall,kendall_tau,-0.033814,
Table9_rag_ablation,random_exemplars_k3,gptoss,Overall,score_mae,0.173157,
Table9_rag_ablation,random_exemplars_k3,gptoss,Overall,score_rmse,0.193128,
Table9_rag_ablation,retrieval_k1,gptoss,Overall,kendall_tau,0.267629,
Table9_rag_ablation,retrieval_k1,gptoss,Overall,score_mae,0.098695,
Table9_rag_ablation,retrieval_k1,gptoss,Overall,score_rmse,0.112082,
Table9_rag_ablation,retrieval_k5,gptoss,Overall,kendall_tau,0.32809,
Table9_rag_ablation,retrieval_k5,gptoss,Overall,score_mae,0.09229,
Table9_rag_ablation,retrieval_k5,gptoss,Overall,score_rmse,0.105018,
Table9_rag_ablation,nearest_neighbor_k3,offline,Overall,kendall_tau,-0.038881,
Table9_rag_ablation,nearest_neighbor_k3,offline,Overall,score_mae,0.095951,
Table9_rag_ablation,nearest_neighbor_k3,offline,Overall,score_rmse,0.10736,
Table9_rag_ablation,alternate_embedding_k3,qwen,Overall,kendall_tau,0.228907,
Table9_rag_ablation,alternate_embedding_k3,qwen,Overall,score_mae,0.095948,
Table9_rag_ablation,alternate_embedding_k3,qwen,Overall,score_rmse,0.111174,
Table9_rag_ablation,control_k3,qwen,Overall,kendall_tau,0.377257,
Table9_rag_ablation,control_k3,qwen,Overall,score_mae,0.102943,
Table9_rag_ablation,control_k3,qwen,Overall,score_rmse,0.119537,
Table9_rag_ablation,descriptions_no_scores_ranks,qwen,Overall,kendall_tau,0.315631,
Table9_rag_ablation,descriptions_no_scores_ranks,qwen,Overall,score_mae,0.141395,
Table9_rag_ablation,descriptions_no_scores_ranks,qwen,Overall,score_rmse,0.156699,
Table9_rag_ablation,exemplars_no_hidden_params,qwen,Overall,kendall_tau,0.232323,
Table9_rag_ablation,exemplars_no_hidden_params,qwen,Overall,score_mae,0.101433,
Table9_rag_ablation,exemplars_no_hidden_params,qwen,Overall,score_rmse,0.12119,
Table9_rag_ablation,random_exemplars_k3,qwen,Overall,kendall_tau,0.081828,
Table9_rag_ablation,random_exemplars_k3,qwen,Overall,score_mae,0.136286,
Table9_rag_ablation,random_exemplars_k3,qwen,Overall,score_rmse,0.15283,
Table9_rag_ablation,retrieval_k1,qwen,Overall,kendall_tau,0.372549,
Table9_rag_ablation,retrieval_k1,qwen,Overall,score_mae,0.102276,
Table9_rag_ablation,retrieval_k1,qwen,Overall,score_rmse,0.116814,
Table9_rag_ablation,retrieval_k5,qwen,Overall,kendall_tau,0.166667,
Table9_rag_ablation,retrieval_k5,qwen,Overall,score_mae,0.091638,
Table9_rag_ablation,retrieval_k5,qwen,Overall,score_rmse,0.10692,
